지점명      당월 게시글   팔로워      좋아요_평균   댓글_평균    참여도     
일산백석     0        94       0        0        0.00    
충암       14       2866     99       0        3.45    
유석(취미반)  0        62       0        0        0.00    
유석(선수반)  4        2002     106      0        5.29    
광명       1        777      21       0        2.70    
시흥       5        311      7        0        2.25    
안산선부     1        287      2        0        0.70    
청원(취미반)  0        0        0        0        NaN     
청원(선수반)  0        0        0        0        NaN     
화랑       4        1326     110      0        8.30    
광운       0        0        0        0        NaN     
남양주      0        0        0        0        NaN     
잠실       0        690      0        0        0.00    
대청       10       2484     150      0        6.04    
